#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Sep 11 11:17:23 EDT 2017,23,23,Assignment1Suite,InsertTest3+ SizeTest0+ SizeTest1+ SizeTest3+ , ,ClearTest0- ClearTest1- EverythingTest0- GetTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest2- , ,
1,Mon Sep 11 11:18:05 EDT 2017,23,0,SizeTestSuite,InsertTest3 SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
2,Mon Sep 11 11:18:06 EDT 2017,23,0,SizeTestSuite,InsertTest3 SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
3,Mon Sep 11 11:18:27 EDT 2017,23,0,RemoveTestSuite,InsertTest3 SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
4,Mon Sep 11 11:18:30 EDT 2017,23,0,SizeTestSuite,InsertTest3 SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
5,Mon Sep 11 11:18:31 EDT 2017,23,0,SizeTestSuite,InsertTest3 SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
6,Mon Sep 11 11:18:33 EDT 2017,23,0,SizeTestSuite,InsertTest3 SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
7,Mon Sep 11 11:18:38 EDT 2017,23,0,EverythingTest0,InsertTest3 SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
8,Mon Sep 11 11:18:40 EDT 2017,23,0,SizeTestSuite,InsertTest3 SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
9,Mon Sep 11 11:18:41 EDT 2017,23,0,SizeTestSuite,InsertTest3 SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
